hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Torri & Portici,10.0,5,232,Hotel,1.4,Bologna Fiere - quartiere,True,232.0
The Student Hotel Bologna,8.9,203,184,Hotel,2.1,Bologna Fiere - quartiere,True,184.0
Marconi28suites,9.0,105,334,Holiday Home,0.7,Centro storico di Bologna,False,334.0
LA FENICE AC,8.4,229,121,Holiday Home,1.6,Not specified,False,121.0
HC3 Hotel,8.2,797,165,Hotel,3.0,Bologna Fiere - quartiere,False,165.0
YAWHome B&B,8.8,158,542,Bed&Breakfast,0.3,Piazza Maggiore,False,542.0
The Sydney Hotel,8.0,749,198,Hotel,3.3,Bologna Fiere - quartiere,False,198.0
SAN FELICE 135 - 3,8.9,34,129,Hotel,1.2,Saragozza,True,129.0
Dimora Orfeo,9.3,169,112,Apartment,1.0,Santo Stefano,False,112.0
whouse suite GOLD TOWERS,8.9,64,114,Apartment,0.4,Piazza Maggiore,True,114.0
Residence Sant'Orsola,9.0,162,151,Apartment,1.5,Savena,True,151.0
Borgonuovo Apartments,9.7,258,231,Holiday Home,0.6,Piazza Maggiore,False,231.0
whouse suite apartment mirasole,8.3,84,95,Apartment,0.7,Santo Stefano,False,95.0
Aparthotel Sant'Orsola,9.0,92,144,Apartment,2.4,Not specified,True,144.0
Indipendenza Luxury Apartments,9.2,108,129,Apartment,0.5,Piazza Maggiore,False,129.0
Residenza Pellacani,9.8,187,309,Holiday Home,0.7,Piazza Maggiore,True,309.0
Guasto Apartment,8.7,71,199,Apartment,0.6,Piazza Maggiore,False,199.0
Grattacielo BLQ Sanificazione Certificata,9.7,114,114,Apartment,6.0,Borgo Panigale,False,114.0
ROOM AND BREAKFAST SAN RAFEL,9.6,50,233,Hotel,4.2,Not specified,False,233.0
Grand Hotel Majestic gia' Baglioni,9.2,492,615,Hotel,0.3,Piazza Maggiore,True,615.0
Casa Fluò Relais,8.6,99,203,Hotel,5.8,Not specified,True,203.0
Il Mughetto,9.0,33,129,Apartment,1.8,Savena,True,129.0
Bologna Holiday Inn,9.0,35,202,Apartment,1.3,Stazione Ferroviaria di Bologna,True,202.0
Camere Scandellara 24,7.8,5,110,Hotel,2.7,Not specified,False,110.0
Ottavo Portone,9.6,17,137,Apartment,0.8,Centro storico di Bologna,False,137.0
A Casa Fachin Room & Breakfast,8.8,41,119,Hotel,0.9,Saragozza,False,119.0
Residenza Riva Reno - BOLOGNA,9.8,19,153,Apartment,0.8,Centro storico di Bologna,False,153.0
Le Ninfee,9.0,60,126,Holiday Home,1.0,Santo Stefano,False,126.0
Z8 Apartments,9.1,124,123,Apartment,1.1,Montagnola,False,123.0
Ludovico de Varthema. Bologna,7.3,26,120,Apartment,0.7,Saragozza,True,120.0
whouse suite porta di castello,8.6,115,144,Apartment,0.3,Piazza Maggiore,False,144.0
whouse luxury universita',8.2,47,154,Apartment,1.2,Not specified,True,154.0
UNAHOTELS San Vitale Bologna,8.5,2637,134,Hotel,3.9,Not specified,True,134.0
Savhotel,9.0,2863,134,Hotel,2.3,Bologna Fiere - quartiere,True,134.0
Hotel Il Guercino,8.4,1032,114,Hotel,1.7,Bologna Fiere - quartiere,True,114.0
Tempobiancosuites,9.1,581,104,Hotel,1.8,Not specified,False,104.0
La Corte del Sant'Orsola,8.6,303,80,Hotel,1.1,Savena,False,80.0
Good Morning Marsala,9.3,624,190,Apartment,0.5,Piazza Maggiore,True,190.0
Santo Stefano Apartments - BolognaRooms,8.9,458,96,Apartment,1.1,Santo Stefano,True,96.0
B&B Parigi,9.0,286,107,Bed&Breakfast,0.3,Piazza Maggiore,True,107.0
Hotel Pedrini,8.1,1752,125,Hotel,1.2,Savena,True,125.0
Hotel Astoria,7.3,2193,120,Hotel,1.1,Centro storico di Bologna,True,120.0
Camplus Guest Bononia Casa per Ferie,8.5,2172,117,Hotel,2.2,Not specified,True,117.0
Best Western City Hotel,8.5,1056,121,Hotel,2.3,Bologna Fiere - quartiere,False,121.0
Mambo Suites,8.8,508,140,Hotel,1.1,Centro storico di Bologna,False,140.0
Residenza San Martino,8.9,783,110,Hotel,0.5,Piazza Maggiore,True,110.0
Bed & breakfast Aurelia,8.5,663,100,Hotel,1.2,Centro storico di Bologna,True,100.0
Hotel Villa Azzurra,8.3,1286,94,Hotel,3.1,Savena,False,94.0
B&B Ambra,9.1,1158,129,Bed&Breakfast,0.8,Montagnola,False,129.0
iH Hotels Bologna Amadeus,7.9,3505,104,Hotel,5.9,Borgo Panigale,True,104.0
B&B La Piazzetta della Pioggia,7.8,467,114,Bed&Breakfast,0.6,Piazza Maggiore,True,114.0
Hotel Donatello,7.4,1673,134,Hotel,0.8,Centro storico di Bologna,True,134.0
Hotel San Felice,7.7,647,105,Hotel,1.1,Centro storico di Bologna,True,105.0
Hotel Sant'Orsola City House,8.3,333,100,Hotel,1.7,Not specified,True,100.0
Riva reno 54 rooms,8.3,608,79,Hotel,0.9,Centro storico di Bologna,False,79.0
MARCONI 2 rooms,8.4,379,133,Hotel,0.6,Centro storico di Bologna,False,133.0
Mirabilia Golden,7.5,497,114,Hotel,1.7,Not specified,False,114.0
VILLA MASI Rental Rooms,7.8,323,99,Apartment,2.0,Savena,True,99.0
B&B PIAZZA DELL'UNITA',9.3,239,114,Bed&Breakfast,1.9,Bologna Fiere - quartiere,False,114.0
Mysuiteshome Apartments,9.3,495,141,Apartment,1.5,Savena,False,141.0
Hotel Cavour,8.9,2376,175,Hotel,0.4,Piazza Maggiore,True,175.0
Hotel Metropolitan,8.6,2008,162,Hotel,0.5,Piazza Maggiore,True,162.0
Relais Bellaria Hotel & Congressi,8.5,1667,149,Hotel,5.4,Not specified,False,149.0
Almarossa,9.0,680,158,Apartment,0.9,Montagnola,False,158.0
Mitodea - Residenza d'Epoca,8.7,318,150,Hotel,0.3,Piazza Maggiore,False,150.0
Boldrini. Bologna,0.0,0,116,Apartment,1.2,Centro storico di Bologna,True,116.0
Houses in Dreams,7.2,30,159,Hotel,0.5,Piazza Maggiore,True,159.0
Arpa Apartments Bologna Center,9.2,334,125,Apartment,0.8,Santo Stefano,False,125.0
Astor Hotel,7.9,795,119,Hotel,2.2,Bologna Fiere - quartiere,True,119.0
Marconi Dreams,9.1,76,105,Apartment,0.6,Centro storico di Bologna,False,105.0
Marsala. Bologna,0.0,0,109,Apartment,0.4,Piazza Maggiore,True,109.0
Antica Casa Zucchini B&B,9.2,40,189,Bed&Breakfast,0.6,Piazza Maggiore,True,189.0
Casa Centro Bologna,0.0,0,85,Apartment,1.0,Santo Stefano,False,85.0
Casabetta,9.7,53,104,Apartment,0.8,Centro storico di Bologna,False,104.0
Casa Gino,8.8,208,229,Apartment,1.5,Bologna Fiere - quartiere,True,229.0
Alle Torri,8.2,43,109,Hotel,0.3,Saragozza,True,109.0
Casa Marsili,9.8,140,127,Apartment,0.7,Santo Stefano,False,127.0
Sabrina's Home,9.5,10,138,Apartment,0.8,Montagnola,True,138.0
Casa di Spagna,9.4,30,123,Apartment,0.4,Saragozza,False,123.0
