hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
San Lorenzo Apartments near St Mark's square,9.0,11,1286,Apartment,0.5,Castello,True,183.71428571428572
Rialto,9.6,7,1278,Apartment,0.7,San Polo,False,182.57142857142858
Luxury balcony apartment,8.8,9,2451,Apartment,1.5,Cannaregio,True,350.14285714285717
Venice Apartments San Samuele,9.4,46,1176,Apartment,0.7,San Marco,True,168.0
Ormesini Apartment,5.4,11,675,Apartment,1.6,Cannaregio,True,96.42857142857143
Venice Sanella Rooms,8.1,77,387,Hotel,9.8,Not specified,True,55.285714285714285
La Chambre D'Ella,9.4,46,1021,Hotel,1.2,Santa Croce,False,145.85714285714286
City Apartments San Marco,8.1,259,1077,Apartment,0.2,Centro di Venezia,True,153.85714285714286
Locanda Cà del Brocchi,8.8,471,1230,Hotel,0.7,Dorsoduro,True,175.71428571428572
Corte Nova,8.8,236,963,Apartment,0.7,Castello,True,137.57142857142858
Savoia e jolanda Apartments,8.8,228,1045,Apartment,0.6,Castello,True,149.28571428571428
Guest House Al Milion,8.1,591,956,Hotel,0.5,Cannaregio,True,136.57142857142858
Relais Piazza San Marco,8.1,765,1416,Hotel,0.1,San Marco,True,202.28571428571428
Hotel Locanda Canal,7.8,528,1115,Hotel,0.3,Castello,True,159.28571428571428
Palazzetto San Lio. Rialto,8.3,99,809,Apartment,0.4,Castello,True,115.57142857142857
Rigoletto Charm,8.9,465,1351,Hotel,1.5,Cannaregio,True,193.0
San Marco Palace,7.8,359,1420,Hotel,0.1,San Marco,True,202.85714285714286
Bellevue & Canaletto Suites,9.1,54,2197,Hotel,0.1,San Marco,True,313.85714285714283
Venezia Canal View,9.1,127,1084,Hotel,2.0,Cannaregio,True,154.85714285714286
Hotel Villa Rosa,8.1,1090,751,Hotel,1.6,Cannaregio,True,107.28571428571429
NEW Propriety 2021 Harry s Canal View,6.9,262,701,Hotel,1.1,Cannaregio,True,100.14285714285714
Accademia Charm Apartments,7.8,479,1168,Apartment,0.6,Dorsoduro,True,166.85714285714286
Charming Palace Santa Fosca,8.7,50,979,Hotel,1.1,Cannaregio,True,139.85714285714286
Hotel Messner,6.5,1875,1036,Hotel,0.6,Dorsoduro,True,148.0
B&B Ca' Furlan,9.4,319,1724,Bed&Breakfast,0.7,Castello,True,246.28571428571428
Ca' dei Proverbi Suites,9.4,145,1495,Hotel,0.8,Cannaregio,True,213.57142857142858
Locanda SS Giovanni e Paolo,8.5,759,748,Hotel,0.6,Castello,True,106.85714285714286
Palazzo Cendon Piano Antico,8.6,636,676,Hotel,1.7,Cannaregio,False,96.57142857142857
Palazzo San Luca,8.7,415,1629,Hotel,0.4,San Marco,True,232.71428571428572
Charming House DD724,9.2,98,2895,Hotel,0.7,Dorsoduro,True,413.57142857142856
Residenza Favaro,8.4,502,1057,Hotel,0.4,San Marco,True,151.0
Locanda Antico Fiore,8.5,375,978,Hotel,0.7,San Marco,True,139.71428571428572
Mirandolina Venice Exclusive Guesthouse,8.8,14,986,Hotel,0.6,Castello,True,140.85714285714286
Venice Apartments San Marco,9.8,22,1370,Apartment,0.6,Castello,True,195.71428571428572
Hotel Marte,8.5,650,734,Hotel,1.5,Cannaregio,True,104.85714285714286
Avogaria 5 Rooms,8.8,114,1482,Hotel,1.4,Dorsoduro,True,211.71428571428572
Residence degli Artisti,9.0,26,1434,Apartment,1.3,Santa Croce,True,204.85714285714286
Ca' Rossini 2,9.7,8,1972,Apartment,0.4,San Marco,True,281.7142857142857
Bell'appartamento nel cuore di Venezia,10.0,6,1951,Apartment,1.1,Cannaregio,True,278.7142857142857
Hotel Palazzo Giovanelli e Gran Canal,8.7,205,4343,Hotel,1.0,Santa Croce,True,620.4285714285714
Ca' Della Frutta Venetian Apartment,8.8,5,2261,Apartment,1.2,Dorsoduro,True,323.0
Ca' Salute Apartment,8.6,54,1876,Apartment,0.7,Dorsoduro,True,268.0
Ca' del Monastero 1 Collection Apt for 4 Guests with Balcony and Lift,9.4,7,1850,Apartment,1.2,Santa Croce,True,264.2857142857143
Venice Times Hotel,9.1,660,1243,Hotel,1.6,Cannaregio,False,177.57142857142858
Sant'Angelo - Fenice Apartments in Venice,8.0,30,933,Apartment,0.5,San Marco,True,133.28571428571428
CA' VIRGINIA,8.8,50,1198,Apartment,0.2,San Marco,True,171.14285714285714
Hotel Do Pozzi,8.2,814,919,Hotel,0.3,San Marco,True,131.28571428571428
GIOVE APARTMENT,0.0,0,585,Apartment,9.6,Not specified,True,83.57142857142857
Ca' Mirtilla,0.0,0,581,Hotel,1.5,Cannaregio,True,83.0
BBTiepolo,6.8,186,493,Hotel,1.6,Cannaregio,True,70.42857142857143
Hotel Adriatico,8.4,571,773,Hotel,1.5,Cannaregio,True,110.42857142857143
Hotel Ca' Formenta,8.4,927,989,Hotel,1.0,Castello,True,141.28571428571428
Liassidi Arco,9.0,175,1259,Hotel,0.7,Castello,True,179.85714285714286
Hotel Palazzo Martinelli Dolfin,8.0,640,856,Hotel,1.7,Santa Croce,True,122.28571428571429
Hotel Ca' Alvise,8.3,1091,1176,Hotel,0.4,San Marco,True,168.0
Venice Rainbow Apartment San Marco,8.0,401,625,Hotel,0.5,Castello,False,89.28571428571429
Hotel Torino,8.0,1384,1388,Hotel,0.4,San Marco,True,198.28571428571428
Hotel Noemi,7.8,996,867,Hotel,0.2,San Marco,True,123.85714285714286
Hotel Al Malcanton,8.7,638,1014,Hotel,1.3,Dorsoduro,True,144.85714285714286
Royal Vacation Venice,5.1,9,371,Hotel,1.3,San Polo,False,53.0
Hotel Al Duca Di Venezia,8.9,682,1174,Hotel,1.1,Santa Croce,True,167.71428571428572
Hotel Tivoli,8.2,939,908,Hotel,1.0,Dorsoduro,True,129.71428571428572
Hotel La Fenice et Des Artistes,8.4,739,1029,Hotel,0.4,San Marco,True,147.0
Casa Caburlotto,8.6,1230,909,Hotel,1.6,Santa Croce,True,129.85714285714286
Hotel Diana,7.4,1958,792,Hotel,0.2,San Marco,True,113.14285714285714
Hotel Tre Archi,6.8,2617,786,Hotel,2.0,Cannaregio,True,112.28571428571429
Duodo Palace,8.2,1190,1188,Hotel,0.4,San Marco,True,169.71428571428572
Hotel Iris Venice,5.8,235,477,Hotel,0.9,San Polo,False,68.14285714285714
Locanda Silva,8.5,1374,996,Hotel,0.3,Castello,True,142.28571428571428
