hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Hotel L'Orologio,9.2,1184,2161,Hotel,0.8,San Polo,False,308.7142857142857
Hotel Nazionale,8.0,483,748,Hotel,1.5,Cannaregio,False,106.85714285714286
Palazzetto San Lio. Rialto,8.3,99,880,Apartment,0.4,Castello,False,125.71428571428571
Hotel Ca' dei Conti,8.0,1349,1993,Hotel,0.3,Castello,True,284.7142857142857
Royal San Marco,7.8,954,922,Hotel,0.1,San Marco,False,131.71428571428572
Hotel Al Ponte Dei Sospiri,8.4,633,1551,Hotel,0.2,San Marco,True,221.57142857142858
Hotel Giorgione,8.3,1523,1409,Apartment,0.8,Cannaregio,False,201.28571428571428
Savoia & Jolanda,8.7,1567,1171,Hotel,0.3,Castello,True,167.28571428571428
Antica Casa Coppo ,8.1,810,1030,Hotel,0.3,San Marco,False,147.14285714285714
Hotel Cà Zusto Venezia,9.1,785,1368,Hotel,1.2,Santa Croce,False,195.42857142857142
Baglioni Hotel Luna - The Leading Hotels of the World,9.2,1072,21553,Hotel,0.1,San Marco,False,3079.0
Palazzo Soderini,9.1,141,1100,Apartment,0.6,Castello,False,157.14285714285714
San Marco 4893,9.3,29,1221,Apartment,0.2,San Marco,True,174.42857142857142
AC Hotel Venezia by Marriott,9.0,582,1127,Hotel,1.6,Santa Croce,True,161.0
Ca' Morosini,8.7,410,1122,Hotel,0.6,San Marco,True,160.28571428571428
Corte Nova,8.8,236,1334,Apartment,0.7,Castello,False,190.57142857142858
Hotel Fontana,8.7,292,1099,Hotel,0.3,Castello,True,157.0
Good Wine Apartments,9.1,156,916,Apartment,1.2,Cannaregio,False,130.85714285714286
Ai Cherubini,9.6,710,1461,Hotel,0.6,San Marco,True,208.71428571428572
City Apartments San Marco,8.1,259,904,Apartment,0.2,Centro di Venezia,False,129.14285714285714
Hotel Pantalon,7.3,108,1160,Hotel,1.0,Dorsoduro,False,165.71428571428572
Hotel Bella Venezia,8.2,953,1447,Hotel,0.3,San Marco,False,206.71428571428572
Residenza La Campana,7.8,673,988,Hotel,0.3,San Marco,False,141.14285714285714
Relais Piazza San Marco,8.1,765,1253,Hotel,0.1,San Marco,False,179.0
Hotel La Residenza,8.8,463,1456,Hotel,0.7,Castello,True,208.0
Hotel Piccola Fenice,8.3,70,1118,Hotel,0.4,San Marco,False,159.71428571428572
Ca Cici Venice Loft Apartment,0.0,0,1187,Apartment,1.1,Castello,False,169.57142857142858
Venezia - Spaziosa a Sant'Elena vicino alla Biennale,0.0,0,836,Apartment,2.1,Castello,True,119.42857142857143
Burano - Incantevole su tre piani,9.3,3,759,Holiday Home,8.5,Not specified,True,108.42857142857143
Rialto Suite,5.9,13,771,Apartment,1.0,Cannaregio,True,110.14285714285714
Appartamento Campo Ruga 314,9.4,32,907,Apartment,1.5,Castello,True,129.57142857142858
Al Campanile,9.3,36,1414,Apartment,0.7,San Polo,False,202.0
City Apartments Salute-Accademia,7.9,32,923,Apartment,0.5,Dorsoduro,False,131.85714285714286
Locazione Turistica Suite Casa Nova,7.7,8,2486,Apartment,0.3,Castello,False,355.14285714285717
Privacy in Venice - Your apartment to be let alone,9.5,18,1820,Apartment,0.7,Castello,False,260.0
Apartment with a Secret and Romantic Park,8.6,3,913,Apartment,1.8,Cannaregio,True,130.42857142857142
Venetian Mood : Earth Sky,8.4,4,1236,Holiday Home,1.5,Castello,False,176.57142857142858
Locazione Turistica Campo Santa Maria Formosa,8.3,8,1009,Apartment,0.4,Castello,False,144.14285714285714
Apartment in Molino Stucky,9.1,28,949,Apartment,1.7,Giudecca,False,135.57142857142858
Cà Marin,8.9,7,1025,Apartment,1.2,Santa Croce,False,146.42857142857142
GRANDCANAL-RED,0.0,0,1911,Apartment,0.8,San Polo,True,273.0
GRANDCANAL-GREEN,0.0,0,1641,Apartment,0.8,San Polo,True,234.42857142857142
Magno Luxury Apt Canal View,0.0,0,1414,Apartment,0.9,Castello,True,202.0
Cà degli Archi 2,9.3,34,1014,Apartment,1.8,Cannaregio,False,144.85714285714286
La Felice Canal Grande,9.2,64,2204,Apartment,0.9,Cannaregio,False,314.85714285714283
Elisabeth Apartment,8.8,32,1683,Apartment,1.5,Castello,True,240.42857142857142
Ca' Fenice. charming apartment in San Marco. sleep 7,9.0,3,2290,Apartment,0.3,San Marco,False,327.14285714285717
Ca' Affresco,0.0,0,2647,Apartment,0.6,San Marco,False,378.14285714285717
City Apartments Cannaregio,7.7,106,978,Apartment,1.2,Cannaregio,False,139.71428571428572
DolceVita N 181,7.1,7,1434,Apartment,1.0,Santa Croce,False,204.85714285714286
Ca Spirito Santo,8.8,29,1634,Apartment,0.8,Dorsoduro,False,233.42857142857142
Tadomo - Corte del Cafetier,9.7,3,1124,Apartment,0.6,Cannaregio,False,160.57142857142858
Campanile alla Canonica,0.0,0,2411,Apartment,0.3,San Marco,False,344.42857142857144
Ca' del Parco,8.4,5,1031,Apartment,1.9,Castello,False,147.28571428571428
Ca' del Monastero 2 Collection Apt for 4 Guests with Lift,9.3,11,1246,Apartment,1.2,Santa Croce,False,178.0
BARTHOUSE5486,9.2,4,935,Apartment,0.5,San Marco,True,133.57142857142858
BlueYellow home in Cannaregio Air conditioning WiFi,6.0,4,939,Apartment,1.7,Cannaregio,True,134.14285714285714
Palazzetto Madonna,8.8,466,2095,Hotel,0.9,San Polo,False,299.2857142857143
GRAND CANAL LOVE NEST#1 Grand Canal piano view!,0.0,0,1114,Apartment,0.8,San Polo,True,159.14285714285714
Ca' Filcamo,9.5,39,1244,Apartment,0.6,Castello,False,177.71428571428572
CORTE MALVASIA,0.0,0,974,Apartment,0.4,Castello,True,139.14285714285714
Domus Quietis,9.1,31,1044,Apartment,1.1,Cannaregio,True,149.14285714285714
Venetian Mood,9.1,75,1005,Apartment,1.3,Giudecca,False,143.57142857142858
San Severo Glamorous Suite Venice,8.6,24,1543,Apartment,0.5,Castello,False,220.42857142857142
Attico Terrazza,9.0,3,1662,Apartment,0.9,Castello,False,237.42857142857142
Ca' De L'Ogio,9.6,16,1038,Apartment,0.8,Castello,False,148.28571428571428
Ca Dode Grand Canal,10.0,3,1624,Apartment,0.9,San Polo,True,232.0
Venice House,9.2,18,1000,Apartment,1.0,San Polo,False,142.85714285714286
Terrazza La Fenice,9.7,4,1504,Apartment,0.5,San Marco,True,214.85714285714286
“LULU’ IN VENICE'' A WARM APARTMENT IN THE LAGOON,6.0,4,881,Apartment,1.7,Cannaregio,True,125.85714285714286
Ai Savi di Venezia,9.3,7,1873,Apartment,0.2,San Marco,False,267.57142857142856
Bellissima casa vicino Biennale grande Terrazza !,0.0,0,1028,Apartment,0.7,Castello,True,146.85714285714286
Cà degli Archi,9.1,32,1035,Apartment,1.8,Cannaregio,False,147.85714285714286
Ca' Degli Armeni Canal View,0.0,0,3650,Apartment,1.4,Dorsoduro,False,521.4285714285714
Giudecca,8.4,3,1162,Apartment,1.1,Giudecca,False,166.0
The St Regis Venice,9.3,215,7889,Hotel,0.3,San Marco,True,1127.0
Hotel Londra Palace,9.3,608,4285,Hotel,0.4,Castello,True,612.1428571428571
Venezia Residence,7.5,409,1101,Apartment,1.3,Santa Croce,True,157.28571428571428
Residenza Ducato,9.7,144,1844,Apartment,0.3,San Marco,False,263.42857142857144
Ca' Dorè,9.0,80,1176,Apartment,1.0,Cannaregio,False,168.0
San Marco Palace,7.8,359,1487,Hotel,0.1,San Marco,False,212.42857142857142
Grimaldi Apartments Cannaregio,8.6,584,1198,Apartment,0.6,Cannaregio,False,171.14285714285714
Casa Martini,8.4,704,1203,Hotel,1.4,Cannaregio,True,171.85714285714286
Veneziacentopercento Apartments & Rooms,8.2,333,812,Apartment,1.2,Castello,False,116.0
Hotel Papadopoli Venezia - MGallery Collection,9.0,340,1803,Hotel,1.4,Santa Croce,True,257.57142857142856
San Marco Suite 755,9.2,474,1784,Hotel,0.2,San Marco,True,254.85714285714286
Grimaldi Apartments San Marco & Castello,8.8,305,1217,Apartment,0.2,San Marco,False,173.85714285714286
Ca' Marinella,8.1,466,1071,Hotel,0.5,Castello,False,153.0
Casanova Fourrooms,8.0,562,985,Hotel,1.7,Santa Croce,False,140.71428571428572
Ca' della Scimmia-The Welcomist in Venice,9.4,573,1313,Apartment,0.7,San Polo,False,187.57142857142858
Hotel Metropole Venezia,8.8,679,2756,Hotel,0.5,Castello,True,393.7142857142857
Hotel Filù,9.3,313,1049,Hotel,1.5,Cannaregio,False,149.85714285714286
Hotel Bucintoro,9.2,926,1932,Hotel,0.9,Castello,True,276.0
Palazzo La Scala,7.6,661,779,Hotel,0.3,San Marco,False,111.28571428571429
Al Redentore Di Venezia,9.0,266,1212,Apartment,1.2,Giudecca,False,173.14285714285714
Ca' Pozzo Inn,8.8,246,1107,Hotel,1.5,Cannaregio,True,158.14285714285714
Residence Ca' Foscolo,9.4,297,1546,Apartment,0.4,Castello,True,220.85714285714286
Suites Torre Dell'Orologio,7.8,71,1333,Hotel,0.1,San Marco,False,190.42857142857142
Venezia Boat & Breakfast Caicco Freedom,7.9,488,1168,Other,1.4,Giudecca,False,166.85714285714286
Residence Corte Grimani,9.3,166,1672,Apartment,0.2,San Marco,False,238.85714285714286
Elegant Apartment in Venice near Ferry Terminal,0.0,0,1644,Apartment,1.1,Santa Croce,False,234.85714285714286
At Home a Palazzo,8.6,23,1088,Hotel,1.0,Cannaregio,False,155.42857142857142
Rio Terà Suite,0.0,0,844,Apartment,0.9,Cannaregio,True,120.57142857142857
Ca' Marcella,0.0,0,788,Holiday Home,1.3,Castello,True,112.57142857142857
Cà Robberstad,0.0,0,1507,Apartment,0.9,Cannaregio,False,215.28571428571428
BIENNALE EASY aircond. 2pax wifi.courtyard,8.6,4,1032,Apartment,1.5,Castello,True,147.42857142857142
Ca Bello,0.0,0,946,Apartment,9.1,Not specified,True,135.14285714285714
Residence Modern Art,0.0,0,1084,Apartment,1.3,Santa Croce,True,154.85714285714286
MURANO Place - HORIZON Panoramic view,0.0,0,824,Apartment,3.1,Not specified,False,117.71428571428571
DolceVita Apartments N 465 Biennale,0.0,0,818,Apartment,1.0,Castello,False,116.85714285714286
Ca Spada,0.0,0,1006,Hotel,0.9,Castello,True,143.71428571428572
Relaxing Venetian Flat,8.9,23,1241,Apartment,0.6,Castello,True,177.28571428571428
Cà Bollani,0.0,0,2491,Apartment,0.6,Castello,False,355.85714285714283
VN686258,0.0,0,406,Hotel,10.1,Not specified,True,58.0
Veneziacentopercento Ruga Apartment,0.0,0,777,Apartment,1.5,Castello,False,111.0
Cannaregio PL,0.0,0,723,Apartment,1.7,Cannaregio,True,103.28571428571429
Locappart Redentore,7.5,8,839,Apartment,1.1,Giudecca,False,119.85714285714286
Sunrise Apartment in Giudecca,9.3,13,1085,Apartment,1.4,Giudecca,False,155.0
Hotel Orion,8.6,915,827,Hotel,0.2,San Marco,False,118.14285714285714
Bauer Palazzo,8.9,1807,3774,Hotel,0.2,San Marco,True,539.1428571428571
Locanda Sant'Agostin,9.1,257,1734,Hotel,0.9,San Polo,False,247.71428571428572
Hotel Bisanzio,8.7,1686,1036,Hotel,0.5,Castello,False,148.0
Alberghiera Venezia,9.1,757,948,Apartment,1.8,Cannaregio,False,135.42857142857142
Locanda Silva,8.5,1374,1231,Hotel,0.3,Castello,False,175.85714285714286
Hotel Bonvecchiati,8.6,2290,1299,Hotel,0.3,San Marco,True,185.57142857142858
Kosher House Giardino Dei Melograni,9.1,1213,1447,Hotel,1.6,Cannaregio,False,206.71428571428572
Hotel Iris Venice,5.8,235,842,Hotel,0.9,San Polo,False,120.28571428571429
Hotel Agli Alboretti,9.0,561,1389,Hotel,0.9,Dorsoduro,False,198.42857142857142
Hotel Palace Bonvecchiati,9.0,2249,1477,Hotel,0.3,San Marco,True,211.0
Atlantide Hotel,7.4,1521,503,Hotel,1.5,Cannaregio,False,71.85714285714286
Hotel Ai Due Principi,8.2,785,1878,Hotel,0.4,Castello,True,268.2857142857143
Hotel Guerrini,8.0,1663,538,Hotel,1.5,Cannaregio,False,76.85714285714286
NH Venezia Rio Novo,9.0,2136,1083,Hotel,1.4,Dorsoduro,True,154.71428571428572
Antica Locanda al Gambero,8.5,1524,1047,Hotel,0.2,San Marco,False,149.57142857142858
Hotel Casa Linger,7.5,420,498,Hotel,0.7,Castello,False,71.14285714285714
Hotel Rossi,7.9,942,808,Hotel,1.5,Cannaregio,False,115.42857142857143
Splendid Venice - Starhotels Collezione,8.9,3849,1783,Hotel,0.2,San Marco,True,254.71428571428572
B&b Allegri,8.8,134,817,Bed&Breakfast,0.3,San Marco,False,116.71428571428571
Hotel Indigo Venice - Sant'Elena. an IHG Hotel,9.2,574,1373,Hotel,2.1,Castello,False,196.14285714285714
Locanda Barbarigo,8.7,254,1553,Hotel,0.5,San Marco,True,221.85714285714286
CHOWDHURy HOUSE,7.1,12,445,Hotel,9.9,Not specified,False,63.57142857142857
Guest House Al Milion,8.1,591,996,Hotel,0.5,Cannaregio,True,142.28571428571428
Palazzo Barocci,8.9,1259,2089,Hotel,0.7,San Marco,True,298.42857142857144
Noble house with @original venetian murales,0.0,0,1018,Apartment,0.6,San Marco,False,145.42857142857142
Il Veliero Romantico,8.7,253,1022,Hotel,1.6,Santa Croce,False,146.0
Corte Ca’ Petriana next to @CampoSanPolo,0.0,0,1147,Apartment,0.7,San Polo,False,163.85714285714286
Palazzetto Canossa,9.1,42,751,Hotel,1.3,Cannaregio,False,107.28571428571429
Garden Houses Apartment,9.3,412,999,Apartment,1.5,Santa Croce,True,142.71428571428572
House 5286,9.3,42,1152,Apartment,0.3,Castello,False,164.57142857142858
Appartamento Biennale,7.9,12,1346,Apartment,1.3,Castello,False,192.28571428571428
Ca' Alberto Apartments,9.4,44,1024,Apartment,0.3,Castello,False,146.28571428571428
Al Campanile Madonna dell'Orto,9.4,128,1255,Apartment,1.6,Cannaregio,False,179.28571428571428
La Prima Ancora,7.8,8,1236,Apartment,1.4,Castello,True,176.57142857142858
Casa di San Martino,9.4,90,734,Apartment,1.4,Cannaregio,True,104.85714285714286
Canova,9.6,20,1220,Apartment,0.7,Dorsoduro,False,174.28571428571428
Hotel Aquarius Venice-Ascend Hotel Collection,9.2,180,2016,Hotel,1.1,Santa Croce,False,288.0
Vit Stay,8.6,154,1189,Apartment,0.4,Castello,True,169.85714285714286
Palazzetto da Schio,9.5,55,1728,Apartment,0.7,Dorsoduro,False,246.85714285714286
Rialto,9.6,7,1278,Apartment,0.7,San Polo,False,182.57142857142858
Palazzo Soranzo Piano Nobile Canal View,0.0,0,6067,Apartment,0.3,Castello,False,866.7142857142857
Ca' Roberta,8.6,7,1110,Apartment,0.4,San Marco,False,158.57142857142858
San Marco Ca Tiepolo - 2 min da Piazza e Rialto,9.0,9,1506,Apartment,0.2,San Marco,False,215.14285714285714
Casa Piccola,9.1,14,1082,Apartment,1.2,Dorsoduro,True,154.57142857142858
B&B VENICE,5.3,10,385,Bed&Breakfast,12.2,Not specified,False,55.0
Pensione Guerrato,9.0,553,1100,Hotel,0.7,San Polo,False,157.14285714285714
Zaguri B&B,9.2,567,1015,Bed&Breakfast,0.5,San Marco,True,145.0
Hotel Kette,8.5,920,1494,Hotel,0.3,San Marco,False,213.42857142857142
Sweet Venice - locazione turistica,8.6,358,931,Apartment,0.4,Castello,False,133.0
Hotel Becher,9.0,594,1943,Hotel,0.3,San Marco,False,277.57142857142856
Residenza Corte Molin,9.5,244,976,Hotel,0.7,San Polo,True,139.42857142857142
Al Canal Regio,7.8,421,903,Hotel,1.0,Cannaregio,False,129.0
Suite735,9.6,170,1920,Hotel,0.8,Dorsoduro,False,274.2857142857143
Palazzo Veneziano - Venice Collection,9.3,3107,1403,Hotel,1.3,Dorsoduro,False,200.42857142857142
Romantic Penthouse,9.3,28,1833,Apartment,0.5,San Marco,False,261.85714285714283
Venice Altanina Apartment,8.8,24,1223,Apartment,0.9,Castello,True,174.71428571428572
Antica Raffineria,8.3,504,1090,Hotel,1.4,Cannaregio,False,155.71428571428572
Locappart Silvestro,8.5,6,892,Apartment,0.6,San Polo,True,127.42857142857143
Venetian Apartments,7.5,143,1262,Apartment,0.2,San Marco,False,180.28571428571428
Venetian Palace R&R,9.1,33,1234,Apartment,1.5,Santa Croce,False,176.28571428571428
Hotel Nani Mocenigo Palace,9.4,973,1966,Hotel,1.0,Dorsoduro,False,280.85714285714283
Palazzo San Luca,8.7,415,1426,Hotel,0.4,San Marco,False,203.71428571428572
Appartamenti Paradiso,8.8,40,901,Apartment,1.3,Cannaregio,True,128.71428571428572
NH Collection Grand Hotel Palazzo Dei Dogi,8.5,356,1979,Hotel,1.5,Cannaregio,True,282.7142857142857
Venezia - Ca' San Lorenzo vista spettacolare,0.0,0,1144,Apartment,0.7,Castello,True,163.42857142857142
Venetian House With Terrace,0.0,0,2391,Apartment,0.9,San Polo,False,341.57142857142856
LL4425 Penthouse of 200sqm,0.0,0,2091,Apartment,0.3,Castello,False,298.7142857142857
Ca' Del Monastero 8 Collection Apartment for 3 Guests,9.9,3,1277,Apartment,1.2,Santa Croce,True,182.42857142857142
Locazione Turistica Al Foghèr,0.0,0,1423,Apartment,0.9,San Polo,False,203.28571428571428
L'Imbarcadero,8.5,499,1435,Hotel,1.3,Santa Croce,False,205.0
Cà Vian,9.5,15,2548,Apartment,0.8,Castello,False,364.0
Apartment Dorotea Venice view,0.0,0,4844,Holiday Home,1.1,Giudecca,False,692.0
Ca' Affresco 2,0.0,0,3504,Apartment,0.7,San Marco,False,500.57142857142856
Ca' San Lorenzo 1,0.0,0,1594,Apartment,0.7,Castello,False,227.71428571428572
Cà Longo Palace,0.0,0,2702,Apartment,1.4,Cannaregio,False,386.0
Rialto apartment canal view,0.0,0,2816,Apartment,0.9,Santa Croce,False,402.2857142857143
Ca' Bembo Terrace,0.0,0,4146,Apartment,0.8,Cannaregio,False,592.2857142857143
Dogaressa,0.0,0,2051,Apartment,1.5,Giudecca,False,293.0
Barbaria Terrace,0.0,0,2670,Apartment,0.7,Castello,False,381.42857142857144
Ca' Pantalon Terrace,0.0,0,2633,Apartment,1.1,Santa Croce,False,376.14285714285717
ARRIVING by TRAINS - quiet 6pax wifi gardenview,0.0,0,1626,Apartment,1.3,Santa Croce,True,232.28571428571428
Ca' San Lorenzo 2,0.0,0,1927,Apartment,0.7,Castello,False,275.2857142857143
Venice Rainbow Apartment San Marco,8.0,401,447,Other,0.5,Castello,False,63.857142857142854
Ai Boteri,6.1,970,466,Other,0.8,San Polo,False,66.57142857142857
Cadoro,6.8,195,468,Other,1.1,Cannaregio,True,66.85714285714286
Appartamento Goldoni,8.5,60,1428,Apartment,0.4,Castello,False,204.0
Ca' degli Artisti - Appartamento Elegante,0.0,0,1300,Apartment,1.6,Dorsoduro,False,185.71428571428572
Ca' Verena,0.0,0,6388,Apartment,0.2,San Marco,False,912.5714285714286
venezianischer Palazzo mit kostenlosen WLAN,0.0,0,1113,Apartment,0.8,Castello,True,159.0
Ca degli Angeli,0.0,0,1419,Apartment,0.6,San Marco,False,202.71428571428572
Ca D Oro Cannareggio,0.0,0,825,Apartment,1.8,Cannaregio,False,117.85714285714286
Furlani house 6,7.5,3,1180,Apartment,0.7,Castello,True,168.57142857142858
Venice Apartment Near Station Santa Lucia two bedroom,7.0,6,1729,Apartment,2.1,Cannaregio,False,247.0
Corte San Francesco,8.3,3,965,Apartment,0.8,Castello,True,137.85714285714286
Cà Mocenigo Suite,0.0,0,1071,Apartment,1.3,Santa Croce,False,153.0
Castello di Godego Villa Sleeps 16 Pool Air Con,0.0,0,45354,Other,1.6,Castello,False,6479.142857142857
Luxurious Palazzo in Venice in the Rialto area with housekeeper/cook,0.0,0,9548,Apartment,0.8,San Polo,False,1364.0
Casa Santa Croce,0.0,0,1032,Apartment,1.2,Santa Croce,False,147.42857142857142
Cà Lucy,8.9,78,1453,Apartment,1.2,Santa Croce,True,207.57142857142858
