hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
B&B La Terrazza Sul Duomo,9.3,623,147,Bed&Breakfast,0.1,Duomo,True,147.0
La Torre dei Salterelli,9.0,681,116,Hotel,0.3,Uffizi,True,116.0
Hotel Villa Il Castagno,7.0,996,86,Hotel,1.8,Campo di Marte,True,86.0
Locanda Della Musica,9.0,56,98,Hotel,0.9,Centro storico di Firenze,True,98.0
Borghese Palace Art Hotel,8.3,642,181,Hotel,0.4,Uffizi,True,181.0
B&B DomoFlorenzia,8.8,216,104,Bed&Breakfast,1.0,Centro storico di Firenze,True,104.0
Domus Duomo,8.4,311,80,Hotel,0.1,Duomo,True,80.0
La Tana Dei Leoni Affittacamere,9.2,447,81,Hotel,0.4,Uffizi,True,81.0
Hotel Alba Palace,8.8,2524,123,Hotel,0.6,Santa Maria Novella,True,123.0
Relais Stibbert Florence,9.0,233,84,Hotel,2.0,Rifredi,True,84.0
Duomo View,8.6,240,94,Hotel,0.2,Duomo,True,94.0
Villa Tolomei Hotel & Resort,8.3,287,207,Hotel,2.6,Not specified,True,207.0
Hotel Milù,9.5,393,199,Hotel,0.2,Tornabuoni,True,199.0
Relais Twelve B&B,8.9,286,104,Bed&Breakfast,0.5,San Lorenzo,True,104.0
B&B Lorena Suites,9.3,517,198,Bed&Breakfast,1.6,Campo di Marte,True,198.0
Grand Amore Hotel and Spa,9.0,188,235,Hotel,0.7,San Marco - Santissima Annunziata,True,235.0
B&B Galileo 2000,8.9,962,147,Bed&Breakfast,0.3,Uffizi,True,147.0
Sangaggio House B&B,8.7,280,149,Bed&Breakfast,2.3,Not specified,True,149.0
Santa Croce Exclusive,7.8,752,65,Hotel,0.5,Uffizi,True,65.0
Be-ONE Art and Luxury Home,9.1,198,240,Hotel,0.1,Duomo,True,240.0
Mabelle Firenze Residenza Sassetti,9.1,243,173,Hotel,0.1,Uffizi,True,173.0
Attico43 B&B,8.9,457,103,Bed&Breakfast,1.4,Porta al Prato,True,103.0
Parione Uno,9.1,453,159,Hotel,0.3,Tornabuoni,True,159.0
25hours Hotel Piazza San Paolino,0.0,0,269,Hotel,0.5,Santa Maria Novella,True,269.0
Gate of Paradise Florence B&B,8.7,226,77,Bed&Breakfast,0.9,San Lorenzo,True,77.0
V-Rooms All'Angolo Del Duomo,9.1,820,141,Hotel,0.2,Tornabuoni,True,141.0
Wow Florence,8.0,3700,55,Hotel,1.2,San Marco - Santissima Annunziata,True,55.0
Mabelle Firenze Residenza Gambrinus,9.0,242,169,Hotel,0.1,Duomo,True,169.0
c-hotels Club,8.6,3182,108,Hotel,0.7,Centro storico di Firenze,True,108.0
c-hotels Joy,8.6,2969,98,Hotel,0.9,Santa Maria Novella,True,98.0
Hostel 7 Santi,7.8,4080,44,Hotel,2.3,Campo di Marte,True,44.0
Hotel Mia Cara,8.4,1967,69,Hotel,0.8,Centro storico di Firenze,True,69.0
Room Mate Luca,9.1,1855,137,Hotel,0.9,San Lorenzo,True,137.0
Grand Hotel Adriatico,8.5,2342,118,Hotel,0.8,Santa Maria Novella,True,118.0
Hotel Giappone,8.3,518,70,Hotel,0.3,Tornabuoni,True,70.0
Hotel Pitti Palace al Ponte Vecchio,8.6,1815,191,Hotel,0.5,San Frediano,True,191.0
Hotel California,7.5,576,124,Hotel,0.5,San Marco - Santissima Annunziata,True,124.0
Canto degli Aranci,9.8,282,120,Hotel,0.6,Santa Croce,True,120.0
Sleep Tight Florence (Rooms),8.3,172,73,Hotel,2.0,Rifredi,True,73.0
Hotel Gioia,8.1,1024,88,Hotel,0.6,San Lorenzo,True,88.0
B&B Monte Oliveto,9.5,125,102,Bed&Breakfast,1.4,Not specified,True,102.0
Leone X Guest House,8.7,437,88,Hotel,1.3,Fortezza da Basso,True,88.0
Hotel La Fortezza,8.7,730,88,Hotel,1.4,Fortezza da Basso,True,88.0
Canto dei Servi,9.1,226,112,Hotel,0.6,San Marco - Santissima Annunziata,True,112.0
Relais Piazza Signoria,9.3,1081,165,Apartment,0.2,Uffizi,True,165.0
Hotel Tourist House,8.3,648,81,Hotel,0.5,Santa Maria Novella,True,81.0
Crystal Ship Apartments,7.8,350,72,Apartment,0.5,Uffizi,True,72.0
San Pier Novello in Oltrarno,9.6,274,117,Hotel,1.0,San Frediano,True,117.0
Hostel Santa Monaca,8.1,952,50,Hotel,0.8,San Frediano,True,50.0
Residenza D'Epoca Historia Luxury Boutique,8.7,601,108,Hotel,0.6,Uffizi,True,108.0
Donatello Apartments by Firenze Prestige,9.2,142,134,Apartment,0.9,Santa Maria Novella,True,134.0
Affittacamere Greenhause,7.2,280,59,Hotel,0.8,San Marco - Santissima Annunziata,True,59.0
My Guest in Florence,8.8,650,88,Hotel,1.2,Centro storico di Firenze,True,88.0
Guest House L'Aranceto,8.6,267,42,Hotel,2.3,Porta al Prato,True,42.0
Soggiorno dell Agnolo,8.1,91,65,Hotel,0.7,Santa Croce,True,65.0
Palazzo Ridolfi - Residenza d'Epoca,9.4,875,212,Hotel,0.6,San Frediano,True,212.0
"Relais Hotel Centrale ""Residenza d'Epoca""",8.7,1208,178,Hotel,0.3,San Lorenzo,True,178.0
Hotel St James,8.3,3045,50,Hotel,0.9,Centro storico di Firenze,True,50.0
Hotel Executive,9.0,1628,160,Hotel,1.0,Centro storico di Firenze,True,160.0
Martelli 6 Suite & Apartments,8.8,2739,102,Hotel,0.3,Duomo,True,102.0
Loggia Fiorentina,8.5,1164,56,Hotel,0.9,San Marco - Santissima Annunziata,True,56.0
Hotel San Lorenzo,7.7,675,58,Hotel,0.6,San Lorenzo,True,58.0
FuordArno Bed & Breakfast,9.7,526,103,Hotel,0.7,Centro storico di Firenze,True,103.0
The Artists' Palace Florence,9.2,453,149,Hotel,0.4,San Lorenzo,True,149.0
Hotel Vasari,8.4,840,99,Hotel,0.8,Centro storico di Firenze,True,99.0
Antica Dimora De' Benci,9.4,101,138,Hotel,0.6,Uffizi,True,138.0
Italiana Hotels Florence,7.7,2518,119,Hotel,3.9,Not specified,True,119.0
UNAHOTELS Vittoria Firenze,8.2,1178,96,Hotel,1.6,Not specified,True,96.0
Hotel Desirèe,8.4,632,84,Hotel,0.8,Centro storico di Firenze,True,84.0
Residenza D'Epoca San Jacopo,7.2,949,46,Hotel,0.5,San Frediano,True,46.0
Prestigia Rooms,8.5,331,95,Hotel,0.1,Duomo,True,95.0
Hotel Por Santa Maria,8.6,450,76,Hotel,0.2,Uffizi,True,76.0
