hotel_name,score,n_reviews,total_price,category,city_center_dist,neighborhood,free_cancellation,price_per_night
Residenza d'Epoca San Cassiano,8.7,1550,826,Hotel,0.9,Santa Croce,False,275.3333333333333
Hotel Gorizia a La Valigia,8.5,2756,596,Hotel,0.3,San Marco,True,198.66666666666666
Hotel Nani Mocenigo Palace,9.4,973,801,Hotel,1.0,Dorsoduro,False,267.0
Hotel Marconi,8.2,1257,413,Hotel,0.5,San Polo,False,137.66666666666666
Hotel Paganelli,8.4,1083,621,Hotel,0.4,Castello,True,207.0
Venice Times Hotel,9.1,653,561,Hotel,1.6,Cannaregio,False,187.0
Al Gazzettino,8.3,1116,487,Hotel,0.3,San Marco,False,162.33333333333334
Hotel Ca' dei Conti,8.0,1348,1107,Hotel,0.3,Castello,True,369.0
Pesaro Palace,8.6,1386,531,Hotel,0.8,Cannaregio,False,177.0
Hotel Bucintoro,9.2,925,1064,Hotel,0.9,Castello,True,354.6666666666667
Hotel Città Di Milano,7.7,1485,334,Hotel,0.2,San Marco,False,111.33333333333333
Hotel Moresco,9.6,534,711,Hotel,1.4,Dorsoduro,True,237.0
Antica Locanda al Gambero,8.5,1527,441,Hotel,0.2,San Marco,False,147.0
Hotel Ca' Alvise,8.3,1091,459,Hotel,0.4,San Marco,False,153.0
Palazzo San Lorenzo,9.0,831,1765,Hotel,0.5,Castello,False,588.3333333333334
Palazzo Venart Luxury Hotel,9.4,338,1530,Hotel,1.1,Santa Croce,True,510.0
Hotel La Fenice et Des Artistes,8.4,739,466,Hotel,0.4,San Marco,True,155.33333333333334
Hotel Firenze,9.2,839,870,Hotel,0.2,San Marco,False,290.0
Ai Patrizi di Venezia,9.4,312,519,Apartment,0.3,San Marco,True,173.0
Hotel Palazzo Stern,9.1,429,1374,Hotel,0.9,Dorsoduro,False,458.0
Hotel Olimpia Venice. BW Signature Collection,9.2,797,531,Hotel,1.5,Santa Croce,False,177.0
Hotel San Zulian,7.7,1530,334,Hotel,0.2,San Marco,False,111.33333333333333
Locanda Silva,8.5,1373,417,Hotel,0.3,Castello,False,139.0
Hotel Al Ponte Dei Sospiri,8.4,631,722,Hotel,0.2,San Marco,True,240.66666666666666
Hotel Serenissima,8.9,1234,428,Hotel,0.3,San Marco,False,142.66666666666666
Antico Panada,7.7,6435,334,Hotel,0.2,San Marco,False,111.33333333333333
Kosher House Giardino Dei Melograni,9.1,1221,339,Hotel,1.6,Cannaregio,False,113.0
Hotel Torino,8.0,1386,403,Hotel,0.4,San Marco,False,134.33333333333334
Eurostars Residenza Cannaregio,8.5,1520,474,Hotel,1.8,Cannaregio,True,158.0
Hotel Antigo Trovatore,8.7,724,509,Hotel,0.3,Castello,True,169.66666666666666
Hotel Al Vagon,8.4,1592,256,Hotel,0.7,Cannaregio,False,85.33333333333333
Al Mascaron Ridente,8.9,1043,378,Hotel,1.4,Cannaregio,False,126.0
